Number of vehicles,IAT,Speed limit,Q(traffic density) (veh/hr),average speed (km/h),total flow (veh/h),average total travelling time,crashes,emergency braking
500,5,60,2020.37,61.28,4498.76,469.6,0,42
500,5,80,2408.0,78.71,3957.78,360.3,18,27
500,5,100,2758.12,101.25,4073.66,284.9,7,8
500,5,120,3148.82,122.84,4170.65,235.81,0,4
500,10,60,1021.25,61.59,2452.25,468.26,0,4
500,10,80,1229.62,77.42,2230.77,261.47,5,10
500,10,100,1421.92,80.2,2193.17,205.07,0,2
500,10,120,1584.0,94.91,2574.8,173.41,0,1
1000,5,60,1984.06,60.19,3960.78,479.46,0,49
1000,5,80,2494.46,81.09,4109.34,355.26,0,0
1000,5,100,2781.01,104.73,4043.35,275.89,3,5
1000,5,120,2681.72,124.61,4380.86,231.26,23,12
1000,10,60,991.39,63.07,1825.89,456.67,0,0
1000,10,80,1261.84,92.26,2091.38,320.69,0,1
1000,10,100,1431.73,80.8,2149.66,203.04,0,0
1000,10,120,1596.28,116.14,3455.58,175.33,0,1
1500,5,60,2006.44,61.74,3726.1,465.39,0,39
1500,5,80,2513.19,82.02,3642.88,353.85,7,11
1500,5,100,1391.18,49.36,1725.45,317.17,49,54
1500,5,120,1995.1,93.49,2136.81,262.9,47,57
1500,10,60,921.43,37.99,1438.41,294.77,8,21
1500,10,80,1174.23,67.33,1486.15,311.2,3,11
1500,10,100,1155.37,56.42,1282.9,190.95,15,16
1500,10,120,1503.56,94.93,2236.39,156.51,0,0
2000,5,60,1971.11,61.73,4092.02,468.92,2,50
2000,5,80,2513.59,81.32,4241.42,355.67,0,2
2000,5,100,2837.31,102.75,4183.74,282.43,0,3
2000,5,120,3065.32,108.72,3742.85,223.49,16,19
2000,10,60,977.51,48.34,1755.2,338.89,0,4
2000,10,80,1289.89,80.91,8724.84,261.85,2,8
2000,10,100,927.44,68.47,1031.73,259.83,16,21
2000,10,120,1601.92,116.73,2082.96,176.87,0,1
